player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Isaac Bonga,bongais01,2021,915,418,-4.846706868605644,1.853635240649446,-2.993071627956198,-4.894992563027531,5.754072771345301,.8590802083177707,-5.150993247304109,2.817383128039917,-2.333610119264193,.0889160797558213,.0889160797558213,0,-5.356005416792577,2.418186780640011,-2.937818636152566,.130981347072491
Devin Booker,bookede01,2021,3945,1925,2.843862891499992,-.4087954143640352,2.435067477135957,5.530662255789892,-3.434966422032332,2.09569583375756,3.39968861600028,-1.10005318437979,2.29963543162049,4.985146322384496,4.985146322384496,0,3.262585413455033,-.8928353623006353,2.369750051154397,.5233306233157577
Chris Boucher,bouchch01,2021,2954,1415,1.934468750621828,.4630060828009799,2.397474833422808,3.154273983586008,-.409819583908131,2.744454399677877,2.302263149630402,.2931993829512074,2.595462532581609,3.849493611552998,3.849493611552998,0,2.089096698979087,.314063605791942,2.403160304771029,-.2502771492330086
Brian Bowen II,bowenbr02,2021,32,15,-4.288730337723088,-7.472950750757429,-11.76168108848052,-16.21331707299404,8.513713372694138,-7.699603700299903,-6.967423023666237,-4.50756469064522,-11.47498771431146,-.0661358988682705,-.0661358988682705,0,-6.191790856429289,-6.89148725360847,-13.08327811003776,-.9617176216643178
Avery Bradley,bradlav01,2021,1130,530,-3.270433538691323,-1.671696729613102,-4.942130268304425,-1.433383313917664,-1.267374238335774,-2.700757552253438,-3.05321158714098,-1.678545778374326,-4.731757365515305,-.5382524051659414,-.5382524051659414,0,-3.36883090458368,-1.637431298950173,-5.006262203533852,.4512206859173307
Tony Bradley,bradlto01,2021,1210,569,.4219974160113056,.9970653681796497,1.419062784190956,2.744832373530471,-.8281962323836746,1.916636141146797,.9937718997187251,.6704676487197395,1.664239548438465,1.273310767183251,1.273310767183251,0,.1172203237176142,-.0717971504644379,.045423173253176,-.8180670336912356
Jarrell Brantley,brantja01,2021,203,94,1.188373504083386,-1.947447313674175,-.7590738095907891,-3.48243486142142,2.457433933214933,-1.025000928206487,.1647647094407447,-1.269802451882855,-1.105037742442111,.0791153158195856,.0791153158195856,0,1.390981038837798,-2.207218922642694,-.8162378838048967,.2876451453240644
Ignas Brazdeikis,brazdig01,2021,31,15,-7.092091140571831,-7.864729904922952,-14.95682104549478,-5.113578142423337,.7919943516047085,-4.321583790818629,-7.094486685894223,-6.501588351412542,-13.59607503730676,-.0786390531758897,-.0786390531758897,0,-8.602056758011715,-9.401429543345163,-18.00348630135688,-1.787111696510302
Mikal Bridges,bridgmi01,2021,4086,1991,.8162582625227125,1.030755953723286,1.847014216245999,3.219604075408849,-.7858585552040998,2.43374552020475,1.369890663713302,.6804590731724275,2.05034973688573,4.861332137722996,4.861332137722996,0,1.035312053867087,.9906267432918894,2.025938797158976,-.3083658042599629
Miles Bridges,bridgmi02,2021,3597,1711,-.6227236325554792,.5938879363228898,-.0288356962325894,2.245014154430174,1.360117561229326,3.6051317156595,-.0603407501700279,.7937297605779881,.7333890104079602,3.055094272836652,3.055094272836652,0,-.0275702441011103,.3079296792738358,.2803594351727255,.4732441779083371
Amida Brimah,brimaam01,2021,12,5,-12.42811855175698,-21.69250995150874,-34.12062850326572,11.74940761762008,-15.55287281343421,-3.803465195814123,-8.161190381039628,-21.77972419538522,-29.94091457642485,-.0694957327198475,-.0694957327198475,0,-8.859538569307601,-20.97173801725613,-29.83127658656373,.1915910872410312
