Rank,Player,18/19,18/19*
367,Spencer Dinwiddie,1656092.00,1694262.00
369,Josh Hart,1655160.00,1693309.00
370,Jacob Evans,1646400.00,1684347.00
371,Pat Connaughton,1641000.00,1678822.00
372,DeAndre Bembry,1634640.00,1672316.00
373,Dzanan Musa,1634400.00,1672070.00
374,Omari Spellman,1622520.00,1659916.00
375,James Ennis,1621415.00,1658786.00
375,Noah Vonleh,1621415.00,1658786.00
377,Luke Kornet,1619260.00,1656581.00
378,Richaun Holmes,1600520.00,1637409.00
378,TJ McConnell,1600520.00,1637409.00
380,Malachi Richardson,1569360.00,1605531.00
381,Jahlil Okafor,1567007.00,1603124.00
381,Kevon Looney,1567007.00,1603124.00
383,Pascal Siakam,1544951.00,1580559.00
383,Dejounte Murray,1544951.00,1580559.00
383,Skal Labissiere,1544951.00,1580559.00
383,Jake Layman,1544951.00,1580559.00
383,Cheick Diallo,1544951.00,1580559.00
383,Malcolm Brogdon,1544951.00,1580559.00
383,Rodney McGruder,1544951.00,1580559.00
383,Ivica Zubac,1544951.00,1580559.00
383,Wade Baldwin,1544951.00,1580559.00
383,Quinn Cook,1544951.00,1580559.00
383,Damian Jones,1544951.00,1580559.00
383,Dorian Finney-Smith,1544951.00,1580559.00
383,Wayne Selden,1544951.00,1580559.00
396,Georges Niang,1512601.00,1547464.00
396,Christian Wood,1512601.00,1547464.00
396,Derrick Jones,1512601.00,1547464.00
396,Gerald Green,1512601.00,1547464.00
396,David Nwaba,1512601.00,1547464.00
396,Treveon Graham,1512601.00,1547464.00
402,Willy Hernangomez,1496500.00,1530992.00
403,Sviatoslav Mykhailiuk,1487694.00,1521983.00
404,Mitchell Robinson,1485440.00,1519677.00
405,Michael Carter-Williams,1468082.00,1501918.00
406,Jawun Evans,1455492.00,1489038.00
407,Thomas Bryant,1378242.00,1410008.00
407,Royce O'Neale,1378242.00,1410008.00
407,Frank Mason,1378242.00,1410008.00
407,Khem Birch,1378242.00,1410008.00
407,Wesley Iwundu,1378242.00,1410008.00
407,Abdel Nader,1378242.00,1410008.00
407,Damyean Dotson,1378242.00,1410008.00
407,Frank Jackson,1378242.00,1410008.00
407,Sterling Brown,1378242.00,1410008.00
407,Tyler Dorsey,1378242.00,1410008.00
407,Dakari Johnson,1378242.00,1410008.00
407,Ivan Rabb,1378242.00,1410008.00
407,Dillon Brooks,1378242.00,1410008.00
407,Rade Zagorac,1378242.00,1410008.00
407,Sindarius Thornwell,1378242.00,1410008.00
407,Zhou Qi,1378242.00,1410008.00
